index:25|imgUrl:Matthew-Olyphant-GG-(thin-line)-2011.jpg|maxWidth:1600|maxHeight:679|orientation:portrait|index2:25|thumb:Matthew-Olyphant-GG-(thin-line)-2011.jpg|alt:Matthew Olyphant - GG (thin line) - 2011 - Spray paint,charcoal,on canvas - 12&#34; x 20&#34;|title:Matthew Olyphant - GG (thin line) - 2011 - Spray paint,charcoal,on canvas - 12&#34; x 20&#34;|END
index:26|imgUrl:Matthew-Olyphant-The-Arch-(population-330,003)-2011.jpg|maxWidth:1600|maxHeight:1104|orientation:landscape|index2:26|thumb:Matthew-Olyphant-The-Arch-(population-330,003)-2011.jpg|alt:Matthew Olyphant - The Arch (population 330,003) - 2011 - Spray paint,oil,oil paint stick,charcoal,on canvas - 44&#34; x 62&#34;|title:Matthew Olyphant - The Arch (population 330,003) - 2011 - Spray paint,oil,oil paint stick,charcoal,on canvas - 44&#34; x 62&#34;|END
index:27|imgUrl:Matthew-Olyphant-Kentucky-2011.jpg|maxWidth:1600|maxHeight:1167|orientation:landscape|index2:27|thumb:Matthew-Olyphant-Kentucky-2011.jpg|alt:Matthew Olyphant - Kentucky - 2011 - Spray paint,charcoal,acrylic,oil,oil paint stick,on canvas - 44&#34; x 58&#34;|title:Matthew Olyphant - Kentucky - 2011 - Spray paint,charcoal,acrylic,oil,oil paint stick,on canvas - 44&#34; x 58&#34;|END
index:28|imgUrl:Matthew-Olyphant-Four-Houses-2011.jpg|maxWidth:1600|maxHeight:1224|orientation:landscape|index2:28|thumb:Matthew-Olyphant-Four-Houses-2011.jpg|alt:Matthew Olyphant - Four Houses - 2011 - Spray paint,charcoal,acrylic,oil paint stick,on canvas - 36&#34; x 44|title:Matthew Olyphant - Four Houses - 2011 - Spray paint,charcoal,acrylic,oil paint stick,on canvas - 36&#34; x 44|END
index:29|imgUrl:Matthew-Olyphant-Fog-2011.jpg|maxWidth:1600|maxHeight:1214|orientation:landscape|index2:29|thumb:Matthew-Olyphant-Fog-2011.jpg|alt:Matthew Olyphant - Fog - 2011 - Spray paint,acrylic,oil paint stick,oil,on canvas - 32&#34; x 42&#34;|title:Matthew Olyphant - Fog - 2011 - Spray paint,acrylic,oil paint stick,oil,on canvas - 32&#34; x 42&#34;|END
index:30|imgUrl:Matthew-Olyphant-Frantic-2011.jpg|maxWidth:1600|maxHeight:1005|orientation:landscape|index2:30|thumb:Matthew-Olyphant-Frantic-2011.jpg|alt:Matthew Olyphant - Frantic - 2011 - Spray paint,oil,oil paint stick,charcoal,on canvas - 30&#34; x 60&#34;|title:Matthew Olyphant - Frantic - 2011 - Spray paint,oil,oil paint stick,charcoal,on canvas - 30&#34; x 60&#34;|END
index:31|imgUrl:Matthew-Olyphant-Suburbia-2011.jpg|maxWidth:1600|maxHeight:1073|orientation:landscape|index2:31|thumb:Matthew-Olyphant-Suburbia-2011.jpg|alt:Matthew Olyphant - Suburbia - 2011 - Oil, Acrylic, Oil Paint Stick, Spray Paint, Charcoal, Staples On Canvas - 24&#34; x 36&#34;|title:Matthew Olyphant - Suburbia - 2011 - Oil, Acrylic, Oil Paint Stick, Spray Paint, Charcoal, Staples On Canvas - 24&#34; x 36&#34;|END
index:32|imgUrl:Matthew-Olyphant-White-Picket-Fence-2011.jpg|maxWidth:1600|maxHeight:535|orientation:portrait|index2:32|thumb:Matthew-Olyphant-White-Picket-Fence-2011.jpg|alt:Matthew Olyphant - White Picket Fence - 2011 - Diptych - Spray paint,oil,oil paint stick,charcoal,acrylic,on canvas - 24&#34; x 72&#34;|title:Matthew Olyphant - White Picket Fence - 2011 - Diptych - Spray paint,oil,oil paint stick,charcoal,acrylic,on canvas - 24&#34; x 72&#34;|END
index:33|imgUrl:Matthew-Olyphant-April-2011.jpg|maxWidth:1600|maxHeight:2311|orientation:portrait|index2:33|thumb:Matthew-Olyphant-April-2011.jpg|alt:Matthew Olyphant - April - 2011 - Spray paint,oil,oil paint stick,gesso,acrylic,on canvas - 46&#34; x 72&#34;|title:Matthew Olyphant - April - 2011 - Spray paint,oil,oil paint stick,gesso,acrylic,on canvas - 46&#34; x 72&#34;|END
index:34|imgUrl:Matthew-Olyphant-Black-Hole-Sun-2011.jpg|maxWidth:1600|maxHeight:1013|orientation:landscape|index2:34|thumb:Matthew-Olyphant-Black-Hole-Sun-2011.jpg|alt:Matthew Olyphant - Black Hole Sun - 2011 - Spray paint,oil,oil paint stick,charcoal,acrylic,on canvas - 34&#34; x 48&#34;|title:Matthew Olyphant - Black Hole Sun - 2011 - Spray paint,oil,oil paint stick,charcoal,acrylic,on canvas - 34&#34; x 48&#34;|END
